id,floor,is_apartment,kitchen_area,living_area,rooms,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator
114843,8,False,9.0,35.0,2,False,47.0,1968,6,55.62715148925781,37.65309143066406,2.640000104904175,84,12,True
43638,3,False,6.0,28.0,2,False,44.0,1960,6,55.8133430480957,37.7272834777832,2.5,80,5,False
45792,9,False,9.0,47.0,3,False,68.0,1982,4,55.66657257080078,37.588008880615234,2.4800000190734863,105,16,True
101084,2,False,6.400000095367432,0.0,2,False,45.0,1968,4,55.70590972900391,37.81481552124024,2.5,287,9,True
89516,4,False,6.0,23.0,2,False,38.0,1975,4,55.67998504638672,37.76795959472656,2.640000104904175,98,14,True
45957,5,False,11.640000343322754,46.61000061035156,3,False,80.8499984741211,2012,4,55.62274169921875,37.304813385009766,2.700000047683716,156,14,True
74386,6,False,6.0,41.900001525878906,3,False,60.09999847412109,1977,4,55.59247970581055,37.54401016235352,2.640000104904175,319,9,True
1298,12,False,10.100000381469728,34.0,2,False,58.59999847412109,1993,4,55.84732055664063,37.34566116333008,2.640000104904175,223,14,True
102472,1,False,3.0,21.0,1,False,31.0,1964,4,55.80602264404297,37.78471374511719,2.640000104904175,72,9,True
2404,3,False,8.0,17.0,1,False,33.0,1950,1,55.83662033081055,37.66314315795898,2.900000095367432,18,3,False
110979,6,False,9.0,31.899999618530277,2,False,53.20000076293945,1993,4,55.85588455200195,37.34414291381836,2.640000104904175,586,16,True
30872,8,False,0.0,0.0,1,False,40.0,2016,4,55.93048858642578,37.54353332519531,2.799999952316284,336,17,True
86181,3,False,6.0,28.5,2,False,45.29999923706055,1971,6,55.61183547973633,37.601806640625,2.640000104904175,94,14,True
47499,2,False,5.0,12.300000190734863,1,False,21.0,1972,1,55.804813385009766,37.72631454467773,2.640000104904175,528,9,True
22445,6,False,6.0,20.0,1,False,34.0,1973,4,55.62763977050781,37.4814682006836,2.640000104904175,285,9,True
20777,4,False,8.0,29.0,2,False,58.0,2009,4,55.55110549926758,37.57188415527344,2.640000104904175,288,15,True
118203,8,False,6.0,26.0,2,False,45.0,1960,1,55.81062698364258,37.522735595703125,2.75,150,8,True
101991,3,False,10.0,31.0,2,False,55.0,2002,4,55.6650619506836,37.7724609375,2.740000009536743,390,14,True
61496,9,False,10.199999809265137,43.400001525878906,3,False,72.80000305175781,1990,4,55.70219039916992,37.68486404418945,2.700000047683716,328,17,True
141044,2,False,6.0,40.0,3,False,59.0,1968,4,55.81178665161133,37.80113220214844,2.640000104904175,355,9,True
